datasrno,workex,gmat
1,21,720
2,107,640
3,57,740
4,99,690
5,208,710
6,136,660
7,70,660
8,103,710
9,79,700
10,22,730
11,69,700
12,41,740
13,72,650
14,69,720
15,20,700
16,21,760
17,19,710
18,86,720
19,231,690
20,20,770
21,175,660
22,21,710
23,44,720
24,23,650
25,20,710
26,70,720
27,46,710
28,33,650
29,130,690
30,57,690
31,57,750
32,45,710
33,55,730
34,42,770
35,34,690
36,55,710
37,44,710
38,79,710
39,45,740
40,38,720
41,44,710
42,83,720
43,118,650
44,45,710
45,89,690
46,77,700
47,91,730
48,61,690
49,47,670
50,69,710
51,59,720
52,32,710
53,74,740
54,279,750
55,33,710
56,33,730
57,34,730
58,110,710
59,44,710
60,44,690
61,46,720
62,58,690
63,45,710
64,34,720
65,54,770
66,45,720
67,33,740
68,82,710
69,72,740
70,77,710
71,43,740
72,54,740
73,92,730
74,90,720
75,66,760
76,38,720
77,25,740
78,57,740
79,31,710
80,58,690
81,55,710
82,68,710
83,79,730
84,71,700
85,68,710
86,32,750
87,32,710
88,45,710
89,69,720
90,65,680
91,57,710
92,45,710
93,92,710
94,57,740
95,69,710
96,32,710
97,70,700
98,59,690
99,44,770
100,44,770
101,46,720
102,33,730
103,46,710
104,82,720
105,53,690
106,33,740
107,34,690
108,37,690
109,55,750
110,52,720
111,68,670
112,51,690
113,69,710
114,47,690
115,56,750
116,45,710
117,56,680
118,48,690
119,34,730
120,55,750
121,43,700
122,69,720
123,31,680
124,46,690
125,58,700
126,47,740
127,56,710
128,43,730
129,58,720
130,27,720
131,46,740
132,58,680
133,34,670
134,34,730
135,45,680
136,68,710
137,34,740
138,46,760
139,45,710
140,56,710
141,33,710
142,33,730
143,44,680
144,33,690
145,69,720
146,82,730
147,64,750
148,126,770
149,80,750
150,80,720
151,45,710
152,45,700
153,68,720
154,58,720
155,45,690
156,130,710
157,80,730
158,130,710
159,34,740
160,80,690
161,48,630
162,45,730
163,40,720
164,58,710
165,35,690
166,40,690
167,79,730
168,34,710
169,56,720
170,68,710
171,32,740
172,57,710
173,53,650
174,57,760
175,45,680
176,46,700
177,77,710
178,44,690
179,68,720
180,45,740
181,54,710
182,58,710
183,59,730
184,38,660
185,94,710
186,46,710
187,96,710
188,44,740
189,50,690
190,91,610
191,117,700
192,58,690
193,32,760
194,57,730
195,57,700
196,57,720
197,32,710
198,33,750
199,41,690
200,70,750
201,45,660
202,68,740
203,90,710
204,82,730
205,33,750
206,46,710
207,45,710
208,45,710
209,79,680
210,109,720
211,53,710
212,44,700
213,33,740
214,70,690
215,44,710
216,51,760
217,85,720
